# ==========================================================
#  EVENTI DELLA LINEA DEL TEMPO
#  Il Seicento in Europa e in America: storia ed economia
# ==========================================================
#
# COME SI SCRIVE UN EVENTO
# Un evento per riga, con quattro parti separate dalla barra
# verticale "|" (si scrive con AltGr + il tasto a destra della L):
#
#   anno | titolo | descrizione | categoria
1648 | Pace di Vestfalia | Il 24 ottobre i trattati firmati a Münster e Osnabrück chiudono la Guerra dei Trent'anni. La Spagna riconosce l'indipendenza delle Province Unite olandesi e gli stati europei accettano di trattare da pari, ciascuno padrone in casa propria. | Guerre

1649 | Esecuzione di Carlo I d'Inghilterra | Il 30 gennaio il re viene decapitato a Londra dopo un processo voluto dal Parlamento. Per la prima volta un sovrano europeo viene giudicato e condannato dai suoi sudditi: l'Inghilterra diventa per alcuni anni una repubblica. | Politica

1651 | Atto di Navigazione inglese | In ottobre il Parlamento stabilisce che le merci dirette in Inghilterra viaggino su navi inglesi oppure del paese di origine. La norma colpisce i trasportatori olandesi e apre una lunga serie di guerre commerciali fra le due potenze marittime. | Economia

1661 | Luigi XIV governa da solo e sceglie Colbert | Alla morte del cardinale Mazzarino, in marzo, il re decide di non nominare un primo ministro. Affida le finanze a Jean-Baptiste Colbert, che sostiene le manifatture francesi, protegge i prodotti nazionali con i dazi e rimette in ordine i conti dello stato. | Politica

1664 | Nuova Amsterdam diventa New York | In settembre una flotta inglese si presenta nel porto e ottiene la resa della colonia olandese senza combattere. La città viene ribattezzata New York in onore del duca di York, fratello del re d'Inghilterra. | Americhe


# --- Fine secolo: banche, diritti e nuovi equilibri ---

1670 | Nasce la Compagnia della Baia di Hudson | Il 2 maggio Carlo II concede a un gruppo di mercanti il monopolio del commercio nell'enorme bacino della Baia di Hudson, in Canada. Le pellicce di castoro diventano uno degli affari più ricchi del Nord America. | Economia

1685 | Revoca dell'Editto di Nantes | Il 18 ottobre Luigi XIV cancella la libertà di culto concessa ai protestanti francesi. Circa duecentomila ugonotti lasciano la Francia portando mestieri e capitali in Olanda, Inghilterra, Svizzera e Prussia. | Politica

1688 | La Gloriosa Rivoluzione in Inghilterra | Il 5 novembre Guglielmo d'Orange sbarca in Inghilterra su invito di una parte del Parlamento e il re Giacomo II fugge in Francia senza combattere. Il potere del sovrano viene limitato per legge e nel 1689 il Bill of Rights fissa i diritti del Parlamento. | Politica

1694 | Nasce la Banca d'Inghilterra | Il 27 luglio viene fondata a Londra una banca che presta denaro allo stato in cambio del diritto di emettere biglietti. Lo stato può così finanziare le guerre con il debito pubblico: è la nascita della finanza pubblica moderna. | Economia
